*,2017 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
Roxstar6.5,332,34.5,6.5,28-31,50-70,80,Binary1,0,0,0
Roxstar7.5,328,34.5,7.5,29-32,50-70,80,Binary1,0,0,0
Verdict,328,31.5,6.75,24-31,50-70,80,Binary1,0,0,0
Ruckus,270-300,30.75,6.50,22-28,50,65,Hybrid,0,0,0
Rookie,250-280,28.0,6.00,17-23,35,65,Hybrid,0,0,0
-,APA
King Cobra TF,370,34.15,5.00,24.0-30.0,40-70,75,Twin,0,0,0
Mamba 32 TF,358,32.25,6.35,24.5-30.0,40-70,75,Twin,0,0,0
Mamba M34,346,34.15,6.625,26.0-31.5,50-70,75,Twin,0,0,0
Mamba M36,338,36.125,6.25,26.5-32.0,50-70,75,Twin,0,0,0
Viper Nano,330,30.0,7.25,23.5-30.5,40-70,80,Single,0,0,0
Mamba Air TF,340,28.5,7.35,25.5-30.5,40-70,75,Twin,0,0,0
Viper Air,323,27.5,7.35,23.0-30.0,50-70,75,Single,0,0,0
Mamba X39,337,39.0,6.635,27.0-32.5,50-70,75,Twin,0,0,0
Rattler,295-325,28.0,7.0,16.0-28.0,20-60,75,Single,0,0,0
-,Athens
Altitude,342,33.125,5.875,26.5-30.5,40-70,65-80,Binary2,0,0,0
Ascent,335,36.0,6.75,28.0-31.5,40-70,65-80,Binary2,0,0,0
Revelation,350,31.0,6.0,26.0-30.0,40-70,70-80,Binary2,0,0,0
Revelation 7,340,31.0,7.0,27.0-31.0,40-70,70-80,Binary2,0,0,0
Sick FTH,350,31.0,6.0,26.0-30.0,40-70,70-80,Binary2,0,0,0
Ultimatum,330-315,28.625,6.375,24.0-28.5,40-70,65-80,Binary1,0,0,0
-,Barnsdale
Addiction,305-308,38.0,7.875,27-32,50-70,80,Binary1,0,0,0
Classic-X 36,292-302,36.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 38,290-300,38.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 40,286-296,40.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 42,282-292,42.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 44,278-288,44.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 46,274-284,46.0,9.125,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 43,280-290,43.5,8.25,27-33,30-70,55/65/75,Twin,0,0,0
Classic-X 45,276-286,45.5,8.75,27-33,30-70,55/65/75,Twin,0,0,0
Classic-X 47,272-282,47.5,9.75,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 36,294-304,36.0,7.5,22-25,30-70,55/65/75,Twin,0,0,0
Ultimate-X 38,292-302,38.0,7.5,22-25,30-70,55/65/75,Twin,0,0,0
Ultimate-X 40,288-298,40.0,8.25,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 42,284-294,42.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 44,280-290,44.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 46,276-286,46.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 43,282-292,43.5,8.0,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 45,278-288,45.5,8.5,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 47,274-284,47.5,9.5,27-33,30-70,55/65/75,Twin,0,0,0
-,BassPro
Kronik XT,305,30.25,7.875,25-30,60-70,80,Single,0,0,0
Toxik XT,311,32.625,7.0,25-30,50-70,65/80,Single,0,0,0
-,Bear
Escape 6,350,32.0,6.0,25.5-30.0,45-70,75,Hybrid,0,0,0
Escape SD,350-325,32.0,6.0,23.5-27.5,45-55,75,Hybrid,0,0,0
BR33,330,33.5,7.0,27.0-32.0,45-70,80,Hybrid,0,0,0
Arena 30,345,30.5,6.5,25.5-30.0,40-70,75,Hybrid,0,0,0
Arena 34,340,34.5,6.5,26.5-31.0,40-70,75,Hybrid,0,0,0
Traxx,338,31.625,6.75,26.5-31.0,40-70,75,Hybrid,0,0,0
Threat,330,32.25,6.25,25.0-30.0,50-70,80,Hybrid,0,0,0
Bounty RTH,295-265,29.75,7.0,23.5-27,30-50,80,Twin,0,0,0
Finesse,285-295,28.625,7.0,23-28,40-50,80,Single,0,0,0
Marshal,320,31.125,6.75,23-30,50-70,80,Single,0,0,0
Wild,310,32.25,7.25,24-31,40-70,80,Single,0,0,0
Cruizer,310,32.0,6.5,12-30,5-70,75,Twin,0,0,0
Apprentice3,305-265,27.5,6.0,15-27,20-60,70,Twin,0,0,0
-,Bowtech
